ticker,name,aliases,context_terms,negative_terms,flag_terms,country,industry,ambiguous,status,note,verified,kind,required_terms
HCC US Equity,Warrior Met Coal,Warrior Met Coal|Warrior Met,coal|metallurgical|Alabama|mining,Golden State Warriors,,USA,Coal Mining,no,active,,,company,
BTU US Equity,Peabody Energy,Peabody Energy|Peabody Coal|~Peabody,coal|mining|thermal|metallurgical|BTU,Peabody Essex|Peabody Award|Peabody Institute|Peabody Hotel|George Peabody|Peabody Massachusetts|Peabody Museum|Peabody Trust|Peabody Housing|Peabody Conservatory|Peabody Sisters,museum|archaeology|journalism,USA,Coal Mining,yes,active,"'Peabody' collides with the Peabody Awards, the Peabody Essex Museum and Peabody, Massachusetts.",,company,
LPI US Equity,Crescent Energy (formerly Laredo Petroleum / Vital Energy),Crescent Energy|~Vital Energy|Laredo Petroleum,Permian|Midland Basin|Texas|shale|oil|CRGY|VTLE,TSXV|Vital Energy Inc. (TSXV|Crescent Point|Fertile Crescent|Crescent Moon,,USA,Oil and Gas,yes,acquired,"Laredo renamed Vital Energy Jan 2023, then acquired by Crescent Energy. A separate Canadian 'Vital Energy Inc' trades on the TSXV, hence the context requirement.",2026-08-24,company,
2678 HK Equity,Texhong International Group,Texhong International|Texhong Textile|Texhong,textile|yarn|fabric|Hong Kong|HKEX|Hang Seng,,,China,Textiles,no,renamed,"Texhong Textile renamed Texhong International Group, Feb 2023; stock code 2678 unchanged.",2026-08-24,company,
1382 HK Equity,Pacific Textiles Holdings,Pacific Textiles|~Pacific Textile,knitted|fabric|textile|Vietnam|Hong Kong|HKEX|Hang Seng,,forum|summit|council,Hong Kong,Textiles,yes,active,Generic word pair; context required.,,company,
2111 HK Equity,Best Pacific International,Best Pacific International|~Best Pacific,elastic|lace|fabric|textile|Hong Kong|HKEX|Hang Seng,,forum|summit|council,Hong Kong,Textiles,yes,active,Generic word pair; context required.,,company,
1982 HK Equity,Nameson Holdings,Nameson Holdings|Nameson,knitwear|garment|textile|Hong Kong|HKEX|Hang Seng,,,Hong Kong,Textiles,no,active,,,company,
420 HK Equity,Fountain Set Holdings,Fountain Set,knitted|fabric|textile|dyeing|Hong Kong|HKEX|Hang Seng,,,China,Textiles,no,active,,,company,
1122 HK Equity,Qingling Motors,Qingling Motors|Qingling,truck|vehicle|Isuzu|automotive|Hong Kong|HKEX|Hang Seng,,,China,Automotive,no,active,,,company,
743 HK Equity,Asia Cement (China) Holdings,Asia Cement (China)|Asia Cement China|~Asia Cement,China|Sichuan|Hubei|clinker|Hong Kong|HKEX|Hang Seng,Asia Cement Corporation|Taiwan Cement,,China,Cement and Materials,yes,active,Distinct from Asia Cement Corporation of Taiwan.,,company,
3315 HK Equity,Goldpac Group,Goldpac,payment|card|smart card|fintech|Hong Kong|HKEX|Hang Seng,,,China,Credit Card Manufacturer,no,active,,,company,
2343 HK Equity,Pacific Basin Shipping,Pacific Basin Shipping|~Pacific Basin,shipping|dry bulk|handysize|supramax|freight|Hong Kong|HKEX|Hang Seng,Pacific Basin Economic Council|Pacific Basin Partnership,forum|summit|council,Hong Kong,Dry Bulk Shipping,yes,active,'Pacific Basin' is also a plain geographic phrase; context required.,,company,
320 HK Equity,Computime Group,Computime,electronics|controls|manufacturing|Hong Kong|HKEX|Hang Seng,,,Hong Kong,Electronic Manufacturing Services,no,active,Listed twice in the July 2022 sheet; deduplicated here.,,company,
6822 HK Equity,King's Flair International,King's Flair|Kings Flair,houseware|kitchen|consumer|Hong Kong|HKEX|Hang Seng,,,Hong Kong,Electronic Manufacturing Services,no,active,,,company,
1418 HK Equity,Sinomax Group,Sinomax,memory foam|mattress|pillow|bedding|Hong Kong|HKEX|Hang Seng,,,Hong Kong,Memory Foam Manufacturer,no,active,,,company,
184 HK Equity,Keck Seng Investments,Keck Seng Investments|~Keck Seng,hotel|property|Hong Kong|HKEX|Hang Seng,Keck Seng (Malaysia)|Bursa Malaysia,,Hong Kong,Real Estate,yes,active,Distinct from Keck Seng (Malaysia) Berhad.,,company,
VALUE SP Equity,Valuetronics Holdings,Valuetronics,electronics|manufacturing|Singapore|EMS,,,Hong Kong,Electronic Manufacturing Services,no,active,,,company,
HEXA IJ Equity,Hexindo Adiperkasa,Hexindo Adiperkasa|Hexindo,excavator|Hitachi|heavy equipment|Indonesia|Jakarta|Indonesian|IDX|Tbk,,,Indonesia,Machinery Distributor,no,active,,,company,
ITMG IJ Equity,Indo Tambangraya Megah,Indo Tambangraya|Indo Tambangraya Megah,coal|mining|Indonesia|Jakarta|Indonesian|IDX|Tbk,,,Indonesia,Coal Mining,no,active,,,company,
AMFG IJ Equity,Asahimas Flat Glass,Asahimas Flat Glass|Asahimas,glass|manufacturing|Indonesia|Jakarta|Indonesian|IDX|Tbk,,,Indonesia,Glass Manufacturer,no,active,,,company,
TOTL IJ Equity,Total Bangun Persada,Total Bangun Persada|Total Bangun,construction|contractor|Indonesia|Jakarta|Indonesian|IDX|Tbk,,,Indonesia,Contractor,no,active,,,company,
NRCA IJ Equity,Nusa Raya Cipta,Nusa Raya Cipta,construction|contractor|Indonesia|Jakarta|Indonesian|IDX|Tbk,,,Indonesia,Contractor,no,active,,,company,
SSIA IJ Equity,Surya Semesta Internusa,Surya Semesta Internusa|Surya Semesta,industrial estate|property|Indonesia|Jakarta|Indonesian|IDX|Tbk,,,Indonesia,Real Estate,no,active,,,company,
LPCK IJ Equity,Lippo Cikarang,Lippo Cikarang,property|township|Indonesia|Jakarta|Indonesian|IDX|Tbk,,,Indonesia,Real Estate,no,active,,,company,
ADMF IJ Equity,Adira Dinamika Multi Finance,Adira Dinamika|Adira Finance,financing|multifinance|Indonesia|Jakarta|Indonesian|IDX|Tbk,,,Indonesia,Financial,no,active,,,company,
CFIN IJ Equity,Clipan Finance Indonesia,Clipan Finance|Clipan,financing|multifinance|Indonesia|Jakarta|Indonesian|IDX|Tbk,,,Indonesia,Financial,no,active,,,company,
AMAG IJ Equity,Asuransi Multi Artha Guna,Asuransi Multi Artha Guna|Multi Artha Guna,insurance|asuransi|Indonesia|Jakarta|Indonesian|IDX|Tbk,,,Indonesia,Financial,no,active,,,company,
LPPF IJ Equity,Matahari Department Store,Matahari Department Store|Matahari Dept,retail|department store|Indonesia|Jakarta|Indonesian|IDX|Tbk,Matahari Putra Prima|MPPA,,Indonesia,Retail,no,active,"Distinct from Matahari Putra Prima (MPPA), a separate listing.",,company,
EPMT IJ Equity,Enseval Putera Megatrading,Enseval Putera Megatrading|Enseval,distribution|pharmaceutical|Indonesia|Jakarta|Indonesian|IDX|Tbk,,,Indonesia,Pharmaceuticals,no,active,,,company,
GDYR IJ Equity,Goodyear Indonesia,Goodyear Indonesia,tire|ban|Bogor|Indonesia|Jakarta|Indonesian|IDX|Tbk,,Akron|Ohio,Indonesia,Tire Manufacturer,no,active,Bare 'Goodyear' is excluded as an alias; it would match the US parent constantly.,,company,
RIGS IJ Equity,Rig Tenders Indonesia,Rig Tenders Indonesia|~Rig Tenders,barge|tug|coal|shipping|Indonesia|Jakarta|Indonesian|IDX|Tbk,,tender award|tender notice,Indonesia,Oil and Gas Pipeline and Vessels,yes,active,'Rig tenders' is also a generic industry phrase.,,company,
GAS VN Equity,PetroVietnam Gas,PetroVietnam Gas|PV Gas|PetroVietnam Gas Joint Stock,gas|LNG|pipeline|Vietnam|Hanoi|Ho Chi Minh|Vietnamese|HOSE,,,Vietnam,Oil and Gas Pipeline and Vessels,no,active,,,company,
VIP VN Equity,Vietnam Petroleum Transport (VIPCO),Vietnam Petroleum Transport|VIPCO,tanker|shipping|petroleum|Vietnam|Hanoi|Ho Chi Minh|Vietnamese|HOSE,,,Vietnam,Oil and Gas Pipeline and Vessels,no,active,,,company,
QNS VN Equity,Quang Ngai Sugar,Quang Ngai Sugar|Vinasoy,sugar|soy milk|beverage|Vietnam|Hanoi|Ho Chi Minh|Vietnamese|HOSE,,,Vietnam,Food and Beverage,no,active,,,company,
SMB VN Equity,Sai Gon - Mien Trung Beer,Sai Gon Mien Trung Beer|Saigon Mien Trung Beer|Bia Sai Gon Mien Trung,beer|brewery|beverage|Vietnam|Hanoi|Ho Chi Minh|Vietnamese|HOSE,,,Vietnam,Food and Beverage,no,active,,,company,
MSH VN Equity,Song Hong Garment,Song Hong Garment|May Song Hong,garment|textile|apparel|Vietnam|Hanoi|Ho Chi Minh|Vietnamese|HOSE,,,Vietnam,Textiles,no,active,'Song Hong' is also the Vietnamese name of the Red River.,,company,
DSN VN Equity,Dam Sen Water Park,Dam Sen Water Park|Dam Sen Waterpark|Cong vien nuoc Dam Sen,water park|tourism|entertainment|Vietnam|Hanoi|Ho Chi Minh|Vietnamese|HOSE,,,Vietnam,Entertainment,no,active,,,company,
HLD VN Equity,Hudland,Hudland|HUD Land,property|real estate|Vietnam|Hanoi|Ho Chi Minh|Vietnamese|HOSE,,,Vietnam,Real Estate,no,active,,,company,
KHP VN Equity,Khanh Hoa Power,Khanh Hoa Power|Khanh Hoa Electricity,power|electricity|utility|Vietnam|Hanoi|Ho Chi Minh|Vietnamese|HOSE,,,Vietnam,Power,no,active,Spelled 'Khahn Hoa Power' in the July 2022 sheet; corrected here.,,company,
SAT TB Equity,Somboon Advance Technology,Somboon Advance Technology|Somboon Advance,auto parts|automotive|Thailand|Bangkok|Thai|SET,,,Thailand,Automotive,no,active,,,company,
STANLY TB Equity,Thai Stanley Electric,Thai Stanley Electric|Thai Stanley,lighting|auto parts|automotive|Thailand|Bangkok|Thai|SET,Stanley Black|Morgan Stanley|Stanley Cup,,Thailand,Automotive,no,active,,,company,
LALIN TB Equity,Lalin Property,Lalin Property,housing|property|real estate|Thailand|Bangkok|Thai|SET,,,Thailand,Real Estate,no,active,,,company,
LPN TB Equity,LPN Development,LPN Development|Lumpini Place,condominium|property|real estate|Thailand|Bangkok|Thai|SET,,,Thailand,Real Estate,no,active,,,company,
TOPP TB Equity,Thai O.P.P.,Thai O.P.P.|Thai OPP,packaging|film|plastic|Thailand|Bangkok|Thai|SET,,,Thailand,Plastic Film,no,active,,,company,
PTL TB Equity,Polyplex Thailand,Polyplex Thailand,PET film|packaging|plastic|Thailand|Bangkok|Thai|SET,,,Thailand,Plastic Film,no,active,Bare 'Polyplex' excluded; it would match the Indian parent.,,company,
MCS TB Equity,MCS Steel,MCS Steel,steel|structural|fabrication|Thailand|Bangkok|Thai|SET,,,Thailand,Steel,no,active,"Present in the holdings sheet only, not the July 2022 universe sheet.",,company,
TOASO TI Equity,Tofas,Tofas|Tofas Turk Otomobil,automotive|Fiat|Stellantis|Bursa|Turkey|Turkiye|Istanbul|Turkish|Borsa,,,Turkey,Automotive,no,active,,,company,
EREGL TI Equity,Eregli Demir ve Celik (Erdemir),Erdemir|Eregli Demir|Eregli Demir ve Celik,steel|iron|Turkey|Turkiye|Istanbul|Turkish|Borsa,,,Turkey,Steel,no,active,,,company,
TTRAK TI Equity,Turk Traktor,Turk Traktor|TurkTraktor|Turk Traktor ve Ziraat,tractor|agriculture|CNH|Turkey|Turkiye|Istanbul|Turkish|Borsa,,,Turkey,Tractor Sales,no,active,,,company,
CIMSA TI Equity,Cimsa Cimento,Cimsa Cimento|Cimsa,cement|clinker|Sabanci|Turkey|Turkiye|Istanbul|Turkish|Borsa,,,Turkey,Cement and Materials,no,active,,,company,
INDES TI Equity,Indeks Bilgisayar,Indeks Bilgisayar|Indeks Teknoloji,technology|distributor|IT|Turkey|Turkiye|Istanbul|Turkish|Borsa,,,Turkey,Electronics Distributor,no,active,'Indeks' is the ordinary Turkish word for index; only compound aliases are used.,,company,
DESPC TI Equity,Despec Bilgisayar,Despec Bilgisayar|~Despec,technology|distributor|consumable|IT|Turkey|Turkiye|Istanbul|Turkish|Borsa,,,Turkey,Electronics Distributor,yes,active,,,company,
GAZP RM Equity,Gazprom,Gazprom,gas|pipeline|Russia|energy,Gazprombank,,Russia,Oil and Gas,no,sanctioned,Retained on instruction although effectively uninvestable post-sanctions. The July 2022 sheet also carried the US ADR line (OGZPY); merged here.,2026-08-24,company,
LKOH RM Equity,Lukoil,Lukoil,oil|refinery|Russia|energy,,,Russia,Oil and Gas,no,sanctioned,Retained on instruction although effectively uninvestable post-sanctions.,2026-08-24,company,
BANEP RM Equity,Bashneft,Bashneft,oil|refinery|Russia|Bashkortostan,,,Russia,Oil and Gas,no,sanctioned,Retained on instruction although effectively uninvestable post-sanctions.,2026-08-24,company,
ATAD LI Equity,Tatneft,Tatneft,oil|refinery|Russia|Tatarstan,,,Russia,Oil and Gas,no,sanctioned,Recorded as 'Taftnet' in the July 2022 sheet; corrected to Tatneft (ATAD was the London ADR line).,2026-08-24,company,
LLUB SL Equity,Chevron Lubricants Lanka,Chevron Lubricants Lanka|Caltex Lubricants Lanka|Chevron Lanka,lubricant|oil|Sri Lanka|Colombo|CSE|Sri Lankan,,,Sri Lanka,Petroleum Retailer,no,renamed,Carried as 'Caltex Lubricants' in the July 2022 sheet; both names kept as aliases.,,company,
TKYO SL Equity,Tokyo Cement,Tokyo Cement,cement|clinker|Sri Lanka|Colombo|CSE|Sri Lankan,,,Sri Lanka,Cement and Materials,no,active,,,company,
TILE SL Equity,Lanka Tiles,Lanka Tiles|Lanka Tile,tile|ceramic|Sri Lanka|Colombo|CSE|Sri Lankan,,,Sri Lanka,Cement and Materials,no,active,,,company,
REXP SL Equity,Richard Pieris Exports,Richard Pieris Exports,rubber|export|Sri Lanka|Colombo|CSE|Sri Lankan,,,Sri Lanka,Rubber,no,active,Bare 'Richard Pieris' excluded; it would match the separately listed parent.,,company,
LIOC SL Equity,Lanka IOC,Lanka IOC|Lanka Indian Oil,fuel|petroleum|retail|Sri Lanka|Colombo|CSE|Sri Lankan,,,Sri Lanka,Petroleum Retailer,no,active,,,company,
SHLPH PM Equity,Pilipinas Shell,Pilipinas Shell,fuel|refinery|retail|Philippines|Manila,Shell plc|Royal Dutch Shell,,Philippines,Petroleum Retailer,no,active,,,company,
FP CN Equity,FP Newspapers,FP Newspapers|FP Canadian Newspapers|Winnipeg Free Press,Winnipeg|Manitoba|newspaper|publishing|Canada,FP McCann|FP Markets,,Canada,Media,no,active,'FP' alone is far too generic; only compound aliases are used. Corporate status not yet verified.,,company,
CNKS LN Equity,Cavendish Financial (formerly Cenkos),Cavendish Financial|Cavendish plc|~Cavendish|Cenkos Securities|Cenkos|finnCap,AIM|broker|investment bank|London|nomad|corporate finance,Cavendish banana|Cavendish Laboratory|Cavendish Square|Cavendish Nuclear|Cavendish Farms|Henry Cavendish|Duke of Devonshire|Chatsworth,banana|physics|laboratory,UK,Financial,yes,acquired,"Cenkos merged with finnCap Sept 2023; combined group renamed Cavendish Financial plc (AIM: CAV). 'Cavendish' collides with the laboratory, the banana and Cavendish Square.",2026-08-24,company,
SL MACRO MONETARY,Sri Lanka - Monetary,CBSL|Central Bank of Sri Lanka|Monetary Policy Board|Monetary Board|Overnight Policy Rate|Standing Deposit Facility Rate|Standing Lending Facility Rate|Statutory Reserve Ratio|AWPLR|AWDR|AWFDR|CCPI|NCPI|Colombo Consumer Price Index|National Consumer Price Index|~inflation|~headline inflation|~core inflation|~disinflation|~deflation|~policy rate|~rate cut|~rate hike|~monetary policy|~money supply|~broad money|~reserve money|~open market operations|~market liquidity|~private sector credit|~credit growth|~inflation target,Sri Lanka|Colombo|CBSL|rupee|monetary|inflation|policy rate|central bank,cricket|Test match|wicket|batsman|bowler|all-rounder|Asia Cup|Premadasa Stadium|Galle Test|horoscope|lottery|obituary|box office|film review|recipe|weather warning|road accident,opinion|editorial|column|letter to the editor,Sri Lanka,Monetary,yes,active,"Economic theme, not a holding. Only matches when a Sri Lanka marker is present.",,macro,Sri Lanka|Sri Lankan|Colombo|CBSL|Central Bank of Sri Lanka|Lankan|LKR|Sri Lankan rupee
SL MACRO FISCAL,Sri Lanka - Fiscal,Ministry of Finance|Inland Revenue Department|Appropriation Bill|Domestic Debt Optimisation|Sri Lanka Development Bond|Social Security Contribution Levy|Ceylon Petroleum Corporation|Ceylon Electricity Board|SriLankan Airlines|Employees Provident Fund|~budget deficit|~fiscal deficit|~primary balance|~primary surplus|~tax revenue|~PAYE|~income tax|~corporate tax|~excise duty|~customs duty|~public debt|~debt restructuring|~debt sustainability|~sovereign default|~capital expenditure|~recurrent expenditure|~subsidy|~Treasury bill|~Treasury bond|~government securities|~fiscal consolidation|~state-owned enterprise,Sri Lanka|Colombo|budget|Treasury|fiscal|tax|debt|government|rupee,cricket|Test match|wicket|batsman|bowler|all-rounder|Asia Cup|Premadasa Stadium|Galle Test|horoscope|lottery|obituary|box office|film review|recipe|weather warning|road accident,opinion|editorial|column|letter to the editor,Sri Lanka,Fiscal,yes,active,"Economic theme, not a holding. Only matches when a Sri Lanka marker is present.",,macro,Sri Lanka|Sri Lankan|Colombo|CBSL|Central Bank of Sri Lanka|Lankan|LKR|Sri Lankan rupee
SL MACRO EXTERNAL,Sri Lanka - External,Board of Investment|Export Development Board|Port of Colombo|Hambantota|Extended Fund Facility|Official Creditor Committee|Paris Club|International Sovereign Bond|~balance of payments|~current account|~trade deficit|~trade balance|~exports|~imports|~remittances|~worker remittances|~tourist arrivals|~tourism earnings|~foreign reserves|~gross official reserves|~foreign direct investment|~exchange rate|~depreciation|~appreciation|~reserves|~trade gap|~currency swap|~external debt|~terms of trade|~import restrictions,Sri Lanka|Colombo|rupee|IMF|reserves|exports|imports|tourism|remittances,cricket|Test match|wicket|batsman|bowler|all-rounder|Asia Cup|Premadasa Stadium|Galle Test|horoscope|lottery|obituary|box office|film review|recipe|weather warning|road accident,opinion|editorial|column|letter to the editor,Sri Lanka,External,yes,active,"Economic theme, not a holding. Only matches when a Sri Lanka marker is present.",,macro,Sri Lanka|Sri Lankan|Colombo|CBSL|Central Bank of Sri Lanka|Lankan|LKR|Sri Lankan rupee
SL MACRO REAL,Sri Lanka - Real,Department of Census and Statistics|Sri Lanka Tea Board|Ceylon Tea|~gross domestic product|~economic growth|~GDP growth|~recession|~economic contraction|~industrial production|~Purchasing Managers Index|~manufacturing output|~services sector|~agriculture output|~paddy harvest|~construction sector|~unemployment|~labour force|~per capita income|~poverty rate,Sri Lanka|Colombo|economy|GDP|growth|output|sector|employment,cricket|Test match|wicket|batsman|bowler|all-rounder|Asia Cup|Premadasa Stadium|Galle Test|horoscope|lottery|obituary|box office|film review|recipe|weather warning|road accident|growth spurt|hair growth,opinion|editorial|column|letter to the editor,Sri Lanka,Real,yes,active,"Economic theme, not a holding. Only matches when a Sri Lanka marker is present.",,macro,Sri Lanka|Sri Lankan|Colombo|CBSL|Central Bank of Sri Lanka|Lankan|LKR|Sri Lankan rupee
SL MACRO FINANCIAL,Sri Lanka - Financial,Colombo Stock Exchange|All Share Price Index|S&P SL20|~CSE|~ASPI|Bank of Ceylon|People's Bank|National Savings Bank|Commercial Bank of Ceylon|Sampath Bank|Hatton National Bank|Seylan Bank|NDB Bank|~banking sector|~non-performing loans|~capital adequacy|~licensed commercial banks|~finance companies|~lending rates|~deposit rates|~bond yields|~market capitalisation|~market turnover|~foreign inflows|~sovereign rating|~credit rating|~rating upgrade|~rating downgrade,Sri Lanka|Colombo|CSE|bourse|bank|rupee|listed|equities|bond,cricket|Test match|wicket|batsman|bowler|all-rounder|Asia Cup|Premadasa Stadium|Galle Test|horoscope|lottery|obituary|box office|film review|recipe|weather warning|road accident|credit card offer|personal loan offer,opinion|editorial|column|letter to the editor,Sri Lanka,Financial,yes,active,"Economic theme, not a holding. Only matches when a Sri Lanka marker is present.",,macro,Sri Lanka|Sri Lankan|Colombo|CBSL|Central Bank of Sri Lanka|Lankan|LKR|Sri Lankan rupee
SL MACRO COMMODITIES,Sri Lanka - Commodities,Colombo Tea Auction|Ceylon Cinnamon|~tea prices|~rubber prices|~coconut prices|~cinnamon exports|~gold price|~crude oil|~fuel prices|~fuel price revision|~electricity tariff|~fertiliser,Sri Lanka|Colombo|tea|rubber|coconut|cinnamon|fuel|electricity|import,cricket|Test match|wicket|batsman|bowler|all-rounder|Asia Cup|Premadasa Stadium|Galle Test|horoscope|lottery|obituary|box office|film review|recipe|weather warning|road accident|gold medal|Olympic gold|gold rush|Golden Globe,opinion|editorial|column|letter to the editor,Sri Lanka,Commodities,yes,active,"Economic theme, not a holding. Only matches when a Sri Lanka marker is present.",,macro,Sri Lanka|Sri Lankan|Colombo|CBSL|Central Bank of Sri Lanka|Lankan|LKR|Sri Lankan rupee
